#=====================================================
# File created:        Sun-27-Oct-2024-at-04-14-37PM
# Size of lattice:     100x100
# Number of MC steps:  100
# Reduced temperature: 1.000
# Run time (s):        12.569238
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000  -10031.9080  0.2566 
   00001    0.6954  -15153.4982  0.2558 
   00002    0.6380  -17602.0182  0.2616 
   00003    0.5954  -18991.9878  0.2648 
   00004    0.5657  -20236.3113  0.2613 
   00005    0.5423  -20898.2176  0.2636 
   00006    0.5371  -21447.6268  0.2627 
   00007    0.5183  -21771.4358  0.2564 
   00008    0.5225  -22024.3834  0.2539 
   00009    0.5244  -22215.2119  0.2521 
   00010    0.5155  -22394.3900  0.2556 
   00011    0.5140  -22553.6831  0.2557 
   00012    0.5111  -22823.2280  0.2580 
   00013    0.5146  -22760.4118  0.2549 
   00014    0.5006  -23098.1036  0.2597 
   00015    0.5010  -23281.6197  0.2562 
   00016    0.4980  -23121.6618  0.2537 
   00017    0.5047  -23198.9558  0.2556 
   00018    0.4950  -23347.3212  0.2579 
   00019    0.4949  -23437.9915  0.2591 
   00020    0.4991  -23323.2142  0.2644 
   00021    0.4980  -23259.0044  0.2631 
   00022    0.4975  -23252.6963  0.2632 
   00023    0.5014  -23336.9160  0.2622 
   00024    0.4889  -23538.9759  0.2576 
   00025    0.4990  -23788.7612  0.2654 
   00026    0.4942  -23919.9598  0.2651 
   00027    0.4894  -23973.9649  0.2633 
   00028    0.4914  -23852.4305  0.2626 
   00029    0.4943  -23791.7048  0.2621 
   00030    0.4833  -23781.7730  0.2653 
   00031    0.4886  -23670.2138  0.2601 
   00032    0.4922  -23698.0402  0.2580 
   00033    0.4878  -23634.7175  0.2538 
   00034    0.4854  -23739.3902  0.2535 
   00035    0.4979  -23639.3928  0.2523 
   00036    0.4978  -23510.0702  0.2550 
   00037    0.5071  -23403.2014  0.2577 
   00038    0.4956  -23374.3696  0.2607 
   00039    0.4863  -23651.9971  0.2570 
   00040    0.4888  -23505.5749  0.2606 
   00041    0.4876  -23672.8733  0.2625 
   00042    0.4886  -23834.3476  0.2642 
   00043    0.4951  -23727.9849  0.2637 
   00044    0.4833  -23847.6488  0.2659 
   00045    0.4882  -23748.8875  0.2643 
   00046    0.4931  -23801.3695  0.2619 
   00047    0.4974  -23560.6513  0.2594 
   00048    0.5020  -23356.2523  0.2622 
   00049    0.4954  -23430.1389  0.2574 
   00050    0.4973  -23395.9142  0.2566 
   00051    0.5005  -23464.7872  0.2577 
   00052    0.5021  -23489.4324  0.2610 
   00053    0.4915  -23526.0876  0.2596 
   00054    0.4970  -23451.4573  0.2567 
   00055    0.5006  -23263.8144  0.2557 
   00056    0.5104  -23152.2852  0.2528 
   00057    0.5045  -23243.6019  0.2531 
   00058    0.4967  -23493.3488  0.2552 
   00059    0.4998  -23257.1059  0.2565 
   00060    0.5092  -23209.3394  0.2566 
   00061    0.5012  -23045.9727  0.2625 
   00062    0.4884  -23352.2389  0.2624 
   00063    0.4974  -23107.1184  0.2607 
   00064    0.5019  -23205.4151  0.2602 
   00065    0.4964  -23169.1992  0.2575 
   00066    0.5045  -23167.2526  0.2646 
   00067    0.4954  -23414.4481  0.2658 
   00068    0.4974  -23603.4158  0.2670 
   00069    0.4963  -23489.8452  0.2663 
   00070    0.4939  -23580.1466  0.2670 
   00071    0.4912  -23459.4410  0.2660 
   00072    0.4944  -23623.2209  0.2629 
   00073    0.4969  -23349.9947  0.2605 
   00074    0.5029  -23144.0218  0.2595 
   00075    0.4919  -23317.2417  0.2660 
   00076    0.4955  -23526.8182  0.2718 
   00077    0.5003  -23614.6377  0.2719 
   00078    0.4797  -23730.5705  0.2749 
   00079    0.4949  -23584.6400  0.2767 
   00080    0.4905  -23585.3644  0.2755 
   00081    0.4977  -23423.0388  0.2752 
   00082    0.4954  -23467.9716  0.2720 
   00083    0.4947  -23191.3600  0.2748 
   00084    0.5003  -23207.4214  0.2742 
   00085    0.4886  -23374.3824  0.2752 
   00086    0.4853  -23386.8084  0.2705 
   00087    0.4919  -23450.8327  0.2724 
   00088    0.4916  -23471.8941  0.2711 
   00089    0.4923  -23502.3622  0.2741 
   00090    0.4976  -23672.1049  0.2723 
   00091    0.4943  -23771.6097  0.2718 
   00092    0.4944  -23413.1146  0.2688 
   00093    0.4969  -23455.3869  0.2782 
   00094    0.5030  -23440.6996  0.2753 
   00095    0.4911  -23358.0229  0.2668 
   00096    0.4999  -23423.2379  0.2604 
   00097    0.4954  -23380.9749  0.2625 
   00098    0.4985  -23377.1213  0.2618 
   00099    0.4938  -23433.3848  0.2644 
   00100    0.4998  -23462.7999  0.2598 
