#=====================================================
# File created:        Mon-28-Oct-2024-at-09-43-50PM
# Size of lattice:     100x100
# Number of MC steps:  100
# Reduced temperature: 1.000
# Run time (s):        12.632744
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000  -10071.3892  0.2607 
   00001    0.6946  -15224.7237  0.2592 
   00002    0.6153  -18059.0807  0.2543 
   00003    0.5838  -19355.8313  0.2629 
   00004    0.5597  -20140.5572  0.2660 
   00005    0.5502  -20969.0970  0.2677 
   00006    0.5361  -21690.2389  0.2704 
   00007    0.5148  -21934.0627  0.2698 
   00008    0.5241  -22163.9823  0.2682 
   00009    0.5201  -22288.7539  0.2631 
   00010    0.5080  -22568.2625  0.2618 
   00011    0.5155  -22671.6371  0.2667 
   00012    0.5010  -22754.1279  0.2665 
   00013    0.5049  -22882.5568  0.2679 
   00014    0.4949  -23120.0364  0.2707 
   00015    0.4984  -23289.2524  0.2737 
   00016    0.5022  -23287.8365  0.2760 
   00017    0.4939  -23331.1963  0.2754 
   00018    0.5100  -23433.1026  0.2795 
   00019    0.4917  -23330.4585  0.2723 
   00020    0.5044  -23272.3049  0.2666 
   00021    0.4869  -23233.6814  0.2678 
   00022    0.5059  -23301.2598  0.2708 
   00023    0.5012  -23249.9423  0.2700 
   00024    0.5043  -23225.0733  0.2750 
   00025    0.5002  -23302.0208  0.2676 
   00026    0.5049  -23256.1756  0.2733 
   00027    0.5079  -23309.4678  0.2760 
   00028    0.4969  -23405.3271  0.2818 
   00029    0.4980  -23604.2076  0.2785 
   00030    0.4943  -23473.6768  0.2808 
   00031    0.4894  -23757.0621  0.2802 
   00032    0.4847  -23742.6271  0.2783 
   00033    0.4932  -23773.4098  0.2761 
   00034    0.4895  -23716.1669  0.2772 
   00035    0.4846  -23592.6326  0.2822 
   00036    0.4956  -23701.2352  0.2812 
   00037    0.4941  -23814.3375  0.2844 
   00038    0.4950  -23584.2920  0.2903 
   00039    0.5030  -23597.0990  0.2945 
   00040    0.4938  -23619.7253  0.2938 
   00041    0.4997  -23497.4807  0.2968 
   00042    0.4908  -23469.5021  0.2994 
   00043    0.4964  -23703.7623  0.2986 
   00044    0.4917  -23695.6902  0.2968 
   00045    0.4925  -23558.7176  0.2904 
   00046    0.4908  -23629.4634  0.2904 
   00047    0.4956  -23685.7940  0.2987 
   00048    0.4828  -23545.4021  0.2944 
   00049    0.4987  -23604.0778  0.2919 
   00050    0.4935  -23577.0048  0.2900 
   00051    0.4905  -23540.9613  0.2844 
   00052    0.4900  -23691.0747  0.2924 
   00053    0.4939  -23748.5645  0.2893 
   00054    0.4903  -23756.3348  0.2815 
   00055    0.4850  -23848.7211  0.2773 
   00056    0.4861  -23804.3286  0.2697 
   00057    0.4963  -23746.4887  0.2712 
   00058    0.4974  -23636.5772  0.2689 
   00059    0.4950  -23768.0747  0.2728 
   00060    0.4786  -23859.8941  0.2708 
   00061    0.4701  -24068.8688  0.2764 
   00062    0.4785  -24073.7671  0.2736 
   00063    0.4889  -24172.8762  0.2690 
   00064    0.4768  -24138.6369  0.2735 
   00065    0.4846  -23925.6682  0.2696 
   00066    0.4923  -23828.5225  0.2777 
   00067    0.4945  -23691.9598  0.2737 
   00068    0.4944  -23647.3154  0.2692 
   00069    0.4962  -23649.3346  0.2662 
   00070    0.4916  -23718.3302  0.2655 
   00071    0.4870  -23723.2386  0.2698 
   00072    0.4985  -23529.3844  0.2708 
   00073    0.5010  -23721.2350  0.2758 
   00074    0.4959  -23794.9378  0.2662 
   00075    0.4926  -23645.2304  0.2641 
   00076    0.4982  -23681.4821  0.2706 
   00077    0.4944  -23800.5327  0.2682 
   00078    0.4918  -23699.8554  0.2656 
   00079    0.5016  -23623.6737  0.2631 
   00080    0.4983  -23675.5623  0.2599 
   00081    0.4889  -23628.5633  0.2583 
   00082    0.4942  -23645.6565  0.2648 
   00083    0.4923  -23708.1295  0.2613 
   00084    0.4943  -23602.1139  0.2591 
   00085    0.4943  -23544.7499  0.2578 
   00086    0.4972  -23422.3632  0.2546 
   00087    0.4908  -23612.3112  0.2509 
   00088    0.5013  -23422.1300  0.2552 
   00089    0.4870  -23512.4372  0.2604 
   00090    0.5061  -23522.1265  0.2618 
   00091    0.4958  -23589.5252  0.2669 
   00092    0.4902  -23485.1252  0.2734 
   00093    0.4869  -23571.5114  0.2779 
   00094    0.5022  -23643.2982  0.2736 
   00095    0.4885  -23537.4901  0.2661 
   00096    0.4885  -23640.2638  0.2640 
   00097    0.4960  -23598.3381  0.2664 
   00098    0.4958  -23824.5162  0.2726 
   00099    0.4913  -23639.7164  0.2696 
   00100    0.4892  -23832.9010  0.2670 
