#=====================================================
# File created:        Mon-28-Oct-2024-at-09-44-20PM
# Size of lattice:     150x150
# Number of MC steps:  100
# Reduced temperature: 1.000
# Run time (s):        28.937053
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000  -22857.2480  0.2525 
   00001    0.6907  -33982.8336  0.2530 
   00002    0.6227  -39915.3061  0.2523 
   00003    0.5855  -42970.4059  0.2601 
   00004    0.5629  -44892.0704  0.2581 
   00005    0.5495  -46532.5124  0.2577 
   00006    0.5412  -47743.5185  0.2609 
   00007    0.5297  -48650.0632  0.2630 
   00008    0.5232  -49242.7171  0.2645 
   00009    0.5226  -49809.1664  0.2614 
   00010    0.5105  -50028.8878  0.2600 
   00011    0.5171  -50502.6902  0.2696 
   00012    0.5089  -50811.2928  0.2724 
   00013    0.5109  -51174.0593  0.2734 
   00014    0.5145  -51263.1776  0.2728 
   00015    0.5123  -51119.6333  0.2678 
   00016    0.5109  -51429.0783  0.2673 
   00017    0.5056  -51651.9145  0.2670 
   00018    0.5038  -51565.1742  0.2695 
   00019    0.5093  -51642.7854  0.2708 
   00020    0.5022  -51828.9570  0.2728 
   00021    0.5055  -52046.6995  0.2721 
   00022    0.4993  -52297.2028  0.2737 
   00023    0.5051  -52428.0738  0.2748 
   00024    0.4982  -52503.9067  0.2744 
   00025    0.5015  -52718.0542  0.2711 
   00026    0.4954  -52651.9077  0.2662 
   00027    0.5003  -52611.5619  0.2667 
   00028    0.5030  -52651.3788  0.2694 
   00029    0.4984  -52964.8709  0.2716 
   00030    0.4931  -53130.9353  0.2744 
   00031    0.4920  -53159.0787  0.2720 
   00032    0.4944  -53439.3598  0.2701 
   00033    0.4943  -53271.7163  0.2728 
   00034    0.4953  -53078.8556  0.2717 
   00035    0.4923  -52968.9768  0.2720 
   00036    0.4912  -53072.4348  0.2696 
   00037    0.4894  -52906.5747  0.2678 
   00038    0.4924  -52636.6444  0.2669 
   00039    0.5003  -52491.5254  0.2637 
   00040    0.4972  -52539.9417  0.2648 
   00041    0.4972  -52788.2344  0.2627 
   00042    0.4935  -53117.6407  0.2643 
   00043    0.4895  -52897.3371  0.2613 
   00044    0.4966  -52768.4736  0.2607 
   00045    0.4951  -52755.2438  0.2621 
   00046    0.4962  -52918.9890  0.2634 
   00047    0.4988  -52847.1638  0.2634 
   00048    0.4951  -52947.2639  0.2677 
   00049    0.5016  -52803.0651  0.2669 
   00050    0.4980  -52919.2102  0.2659 
   00051    0.4895  -52893.8731  0.2686 
   00052    0.4956  -52874.8435  0.2716 
   00053    0.4978  -52814.4226  0.2711 
   00054    0.4964  -52846.4883  0.2699 
   00055    0.4932  -52649.8305  0.2736 
   00056    0.4914  -52798.0312  0.2740 
   00057    0.4924  -52777.6333  0.2733 
   00058    0.4991  -52919.2178  0.2724 
   00059    0.4899  -52798.5410  0.2690 
   00060    0.4910  -53032.4531  0.2705 
   00061    0.4907  -53047.0971  0.2715 
   00062    0.4984  -52623.2084  0.2727 
   00063    0.4993  -52705.0716  0.2766 
   00064    0.4938  -52638.0014  0.2754 
   00065    0.4928  -52862.1271  0.2766 
   00066    0.4951  -53003.0488  0.2781 
   00067    0.4952  -52725.9328  0.2761 
   00068    0.4909  -53252.9103  0.2727 
   00069    0.4949  -53206.9578  0.2711 
   00070    0.4888  -53306.4213  0.2744 
   00071    0.4876  -53053.2755  0.2710 
   00072    0.4885  -53208.1874  0.2710 
   00073    0.4893  -53529.0777  0.2732 
   00074    0.4935  -53594.5923  0.2754 
   00075    0.4881  -53596.6827  0.2733 
   00076    0.4887  -53267.3677  0.2719 
   00077    0.4941  -53275.1880  0.2785 
   00078    0.4916  -53381.7681  0.2782 
   00079    0.4947  -53330.2574  0.2781 
   00080    0.4917  -53304.1918  0.2772 
   00081    0.4975  -53388.2535  0.2722 
   00082    0.4890  -53567.0576  0.2724 
   00083    0.4935  -53662.4302  0.2743 
   00084    0.4911  -53369.6167  0.2749 
   00085    0.4985  -53443.8732  0.2771 
   00086    0.4899  -53190.2573  0.2730 
   00087    0.4892  -53323.9608  0.2739 
   00088    0.4924  -53299.3450  0.2756 
   00089    0.4916  -53369.0703  0.2780 
   00090    0.4901  -53248.5215  0.2772 
   00091    0.4969  -53429.3536  0.2707 
   00092    0.4964  -53643.2418  0.2676 
   00093    0.4908  -53650.6788  0.2671 
   00094    0.4877  -53455.9810  0.2664 
   00095    0.4926  -53599.8580  0.2643 
   00096    0.4893  -53736.7705  0.2674 
   00097    0.4867  -54223.3864  0.2685 
   00098    0.4886  -54002.4689  0.2676 
   00099    0.4854  -53652.4211  0.2679 
   00100    0.4876  -53601.3614  0.2671 
