#=====================================================
# File created:        Sun-27-Oct-2024-at-04-15-57PM
# Size of lattice:     200x200
# Number of MC steps:  100
# Reduced temperature: 1.000
# Run time (s):        50.088985
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000  -40562.6076  0.2513 
   00001    0.6921  -60917.9265  0.2545 
   00002    0.6270  -70701.4957  0.2550 
   00003    0.5919  -76341.7689  0.2576 
   00004    0.5643  -80403.8380  0.2575 
   00005    0.5493  -83152.7983  0.2570 
   00006    0.5358  -84950.4996  0.2563 
   00007    0.5313  -86773.5846  0.2572 
   00008    0.5261  -87659.8607  0.2549 
   00009    0.5196  -88104.1731  0.2571 
   00010    0.5200  -88970.3988  0.2561 
   00011    0.5189  -89962.1519  0.2578 
   00012    0.5118  -90741.4312  0.2560 
   00013    0.5078  -91295.3085  0.2578 
   00014    0.5063  -91791.3260  0.2581 
   00015    0.5076  -91960.0402  0.2584 
   00016    0.4971  -92467.0346  0.2569 
   00017    0.5043  -92531.8287  0.2576 
   00018    0.5013  -92954.2610  0.2580 
   00019    0.4990  -93068.2795  0.2592 
   00020    0.4972  -93393.9936  0.2617 
   00021    0.4979  -93391.6067  0.2581 
   00022    0.4941  -93337.8736  0.2609 
   00023    0.4967  -93015.7773  0.2615 
   00024    0.5005  -92967.3760  0.2632 
   00025    0.5003  -93504.7459  0.2621 
   00026    0.4956  -93844.4954  0.2608 
   00027    0.4959  -93647.5566  0.2626 
   00028    0.4906  -93399.9279  0.2641 
   00029    0.5017  -93452.6279  0.2639 
   00030    0.4941  -93626.0581  0.2639 
   00031    0.4963  -93737.3271  0.2603 
   00032    0.4950  -93846.3149  0.2600 
   00033    0.4965  -93904.0589  0.2606 
   00034    0.4945  -93789.1784  0.2559 
   00035    0.4923  -93984.3099  0.2580 
   00036    0.4900  -93959.4659  0.2553 
   00037    0.4952  -94084.2912  0.2569 
   00038    0.4990  -94201.0697  0.2521 
   00039    0.4944  -94299.7967  0.2564 
   00040    0.4934  -94213.3220  0.2541 
   00041    0.4963  -93696.3291  0.2560 
   00042    0.4947  -93940.9751  0.2566 
   00043    0.4966  -93890.1537  0.2575 
   00044    0.4950  -93779.1068  0.2570 
   00045    0.4945  -93908.0228  0.2523 
   00046    0.4954  -93614.1239  0.2528 
   00047    0.4924  -93935.2859  0.2552 
   00048    0.4976  -94209.4196  0.2555 
   00049    0.5016  -94243.6222  0.2554 
   00050    0.4939  -94283.2050  0.2555 
   00051    0.4927  -94201.3895  0.2578 
   00052    0.4958  -94334.7851  0.2557 
   00053    0.4942  -94256.5410  0.2545 
   00054    0.4893  -94386.2252  0.2545 
   00055    0.4957  -94312.0289  0.2542 
   00056    0.4953  -94161.3660  0.2529 
   00057    0.4960  -94197.8034  0.2519 
   00058    0.4924  -94372.4260  0.2545 
   00059    0.4924  -94625.0212  0.2591 
   00060    0.4910  -94446.7973  0.2588 
   00061    0.4982  -93939.7169  0.2608 
   00062    0.4946  -93885.5246  0.2620 
   00063    0.4885  -94198.9623  0.2619 
   00064    0.4988  -94022.5347  0.2621 
   00065    0.4944  -94232.4691  0.2634 
   00066    0.4935  -93934.6086  0.2637 
   00067    0.4958  -93671.7527  0.2640 
   00068    0.4970  -93880.5209  0.2681 
   00069    0.4966  -94254.8450  0.2662 
   00070    0.4934  -94278.7738  0.2685 
   00071    0.4914  -94549.3008  0.2694 
   00072    0.4955  -94909.9615  0.2681 
   00073    0.4945  -94859.0470  0.2662 
   00074    0.4867  -95068.0631  0.2644 
   00075    0.4940  -94800.3660  0.2656 
   00076    0.4942  -94798.5102  0.2644 
   00077    0.4890  -94625.9143  0.2647 
   00078    0.4928  -94294.5417  0.2672 
   00079    0.4935  -94367.2684  0.2682 
   00080    0.4975  -94243.6161  0.2671 
   00081    0.4921  -94174.7757  0.2684 
   00082    0.4960  -94467.2769  0.2674 
   00083    0.4961  -94136.9224  0.2676 
   00084    0.4948  -94067.9507  0.2660 
   00085    0.4982  -94211.1446  0.2698 
   00086    0.4974  -94453.5458  0.2712 
   00087    0.4938  -94219.9633  0.2715 
   00088    0.4952  -94145.8708  0.2745 
   00089    0.4928  -94393.9279  0.2770 
   00090    0.4934  -94128.2202  0.2789 
   00091    0.4921  -94004.0994  0.2812 
   00092    0.4918  -94360.0096  0.2789 
   00093    0.4900  -94900.0983  0.2763 
   00094    0.4924  -94516.3090  0.2720 
   00095    0.4951  -94134.0927  0.2711 
   00096    0.4926  -94549.0978  0.2705 
   00097    0.4934  -94442.6871  0.2698 
   00098    0.4932  -94606.3999  0.2730 
   00099    0.4890  -94618.5804  0.2727 
   00100    0.4913  -94713.9051  0.2723 
