#=====================================================
# File created:        Mon-28-Oct-2024-at-09-45-12PM
# Size of lattice:     200x200
# Number of MC steps:  100
# Reduced temperature: 1.000
# Run time (s):        51.405444
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000  -40246.6301  0.2544 
   00001    0.6911  -60869.0106  0.2525 
   00002    0.6185  -70571.6072  0.2533 
   00003    0.5914  -76334.7772  0.2520 
   00004    0.5659  -80091.3114  0.2528 
   00005    0.5478  -82789.5967  0.2553 
   00006    0.5423  -84638.0667  0.2566 
   00007    0.5315  -86535.4589  0.2600 
   00008    0.5270  -87907.7578  0.2586 
   00009    0.5222  -88750.9411  0.2579 
   00010    0.5175  -89749.9752  0.2584 
   00011    0.5134  -90603.6235  0.2583 
   00012    0.5068  -91100.0413  0.2589 
   00013    0.5043  -90757.5818  0.2559 
   00014    0.5092  -91281.0431  0.2550 
   00015    0.5034  -91537.7033  0.2555 
   00016    0.5049  -91798.7893  0.2583 
   00017    0.5050  -92399.7173  0.2577 
   00018    0.5024  -92441.7230  0.2589 
   00019    0.5020  -92708.5234  0.2595 
   00020    0.4968  -92744.2469  0.2597 
   00021    0.5024  -92596.1510  0.2607 
   00022    0.5009  -93089.1703  0.2606 
   00023    0.4954  -92997.3671  0.2618 
   00024    0.5002  -93064.8603  0.2632 
   00025    0.4966  -92796.1436  0.2591 
   00026    0.4994  -93195.2367  0.2592 
   00027    0.4966  -93319.1063  0.2614 
   00028    0.4964  -93238.1288  0.2605 
   00029    0.4981  -93564.6189  0.2606 
   00030    0.4933  -93643.9930  0.2622 
   00031    0.4970  -94028.4441  0.2614 
   00032    0.4939  -94120.4562  0.2608 
   00033    0.4972  -94106.6691  0.2538 
   00034    0.4928  -94133.4647  0.2528 
   00035    0.4949  -94148.7567  0.2516 
   00036    0.4913  -94292.0224  0.2530 
   00037    0.4966  -94477.4240  0.2524 
   00038    0.4947  -94376.5901  0.2531 
   00039    0.4971  -94248.1084  0.2542 
   00040    0.4967  -94427.6126  0.2544 
   00041    0.4956  -94319.4561  0.2572 
   00042    0.4959  -94102.2631  0.2572 
   00043    0.4944  -94189.5134  0.2574 
   00044    0.4973  -93956.8235  0.2562 
   00045    0.4904  -94197.4386  0.2570 
   00046    0.4946  -94107.5092  0.2623 
   00047    0.4924  -94152.9040  0.2632 
   00048    0.4922  -94289.1635  0.2598 
   00049    0.4946  -94175.6412  0.2614 
   00050    0.4935  -94155.8295  0.2593 
   00051    0.4983  -94351.5511  0.2608 
   00052    0.4919  -94286.3623  0.2577 
   00053    0.4965  -94177.2430  0.2602 
   00054    0.4942  -94026.4748  0.2589 
   00055    0.4921  -94420.7475  0.2599 
   00056    0.4877  -94649.4556  0.2604 
   00057    0.4933  -94626.8960  0.2605 
   00058    0.4948  -94542.4616  0.2593 
   00059    0.4868  -94855.0353  0.2615 
   00060    0.4892  -94813.4638  0.2598 
   00061    0.4923  -94615.3565  0.2562 
   00062    0.4932  -94331.3471  0.2586 
   00063    0.4916  -94474.5001  0.2593 
   00064    0.4935  -94109.9111  0.2599 
   00065    0.4926  -93793.5371  0.2614 
   00066    0.4940  -94417.8505  0.2579 
   00067    0.4942  -94377.4015  0.2587 
   00068    0.4958  -94358.2533  0.2588 
   00069    0.4952  -94016.2924  0.2617 
   00070    0.4951  -94278.7528  0.2666 
   00071    0.4936  -94344.3020  0.2657 
   00072    0.4951  -94546.0541  0.2665 
   00073    0.4905  -94618.6219  0.2670 
   00074    0.4948  -94497.3473  0.2665 
   00075    0.4909  -94553.8356  0.2664 
   00076    0.4950  -94410.4300  0.2640 
   00077    0.4924  -94533.4143  0.2671 
   00078    0.4903  -94567.9680  0.2666 
   00079    0.4951  -94300.4717  0.2672 
   00080    0.4898  -94482.2747  0.2649 
   00081    0.4960  -94145.4746  0.2667 
   00082    0.4994  -94376.8851  0.2688 
   00083    0.4897  -94320.1082  0.2683 
   00084    0.4947  -94091.5146  0.2688 
   00085    0.4959  -93965.5903  0.2693 
   00086    0.4936  -93898.3841  0.2676 
   00087    0.5008  -93947.5080  0.2679 
   00088    0.5007  -94003.1121  0.2696 
   00089    0.4955  -93821.1610  0.2705 
   00090    0.4948  -94062.2771  0.2711 
   00091    0.4915  -94339.2027  0.2726 
   00092    0.4896  -94714.3863  0.2684 
   00093    0.4919  -94497.5439  0.2739 
   00094    0.4917  -94409.4352  0.2741 
   00095    0.4940  -93938.9715  0.2765 
   00096    0.4918  -94444.6697  0.2767 
   00097    0.4964  -94168.3497  0.2768 
   00098    0.4961  -93972.5606  0.2750 
   00099    0.4961  -94116.0446  0.2765 
   00100    0.4985  -94111.6839  0.2770 
