#=====================================================
# File created:        Sun-27-Oct-2024-at-04-15-06PM
# Size of lattice:     150x150
# Number of MC steps:  100
# Reduced temperature: 1.000
# Run time (s):        28.579333
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000  -22799.6050  0.2560 
   00001    0.6948  -34000.5409  0.2682 
   00002    0.6284  -39574.9082  0.2647 
   00003    0.5884  -42866.2370  0.2678 
   00004    0.5724  -44735.6575  0.2632 
   00005    0.5552  -46153.1308  0.2648 
   00006    0.5464  -47217.0518  0.2682 
   00007    0.5342  -48197.9915  0.2713 
   00008    0.5308  -48762.9753  0.2713 
   00009    0.5225  -49546.3937  0.2700 
   00010    0.5143  -50278.0911  0.2684 
   00011    0.5092  -50723.9964  0.2711 
   00012    0.5140  -50601.3995  0.2751 
   00013    0.5074  -50835.5788  0.2792 
   00014    0.5098  -50958.3930  0.2803 
   00015    0.5088  -51200.5331  0.2736 
   00016    0.5056  -51435.6860  0.2738 
   00017    0.5080  -51790.7474  0.2770 
   00018    0.4988  -52130.5243  0.2771 
   00019    0.5083  -51890.9517  0.2749 
   00020    0.5017  -51948.4740  0.2723 
   00021    0.5074  -52070.1683  0.2707 
   00022    0.5018  -52277.2707  0.2706 
   00023    0.4972  -52449.3682  0.2651 
   00024    0.4989  -52861.6487  0.2677 
   00025    0.4974  -52655.4533  0.2660 
   00026    0.4974  -52858.6013  0.2638 
   00027    0.4942  -52805.6439  0.2650 
   00028    0.5014  -52639.4025  0.2646 
   00029    0.4993  -52721.8478  0.2667 
   00030    0.4948  -52614.6651  0.2644 
   00031    0.4962  -52220.2339  0.2638 
   00032    0.4928  -52708.9463  0.2635 
   00033    0.4913  -52405.3482  0.2596 
   00034    0.4960  -52639.4394  0.2567 
   00035    0.4967  -52820.5738  0.2589 
   00036    0.4950  -52706.9311  0.2611 
   00037    0.5016  -52674.1181  0.2548 
   00038    0.4972  -52717.1119  0.2558 
   00039    0.4952  -52783.7102  0.2524 
   00040    0.5004  -52708.1529  0.2564 
   00041    0.5046  -52585.8064  0.2599 
   00042    0.5009  -52616.9911  0.2637 
   00043    0.4958  -52930.0919  0.2628 
   00044    0.4933  -52812.7694  0.2629 
   00045    0.4909  -52846.9050  0.2631 
   00046    0.4969  -52517.8006  0.2650 
   00047    0.4918  -52555.8176  0.2606 
   00048    0.5008  -52318.9999  0.2610 
   00049    0.4998  -52344.5150  0.2646 
   00050    0.4997  -52230.7137  0.2667 
   00051    0.5018  -52354.1140  0.2641 
   00052    0.5040  -52703.9719  0.2629 
   00053    0.4955  -52566.0222  0.2611 
   00054    0.4938  -52694.7295  0.2564 
   00055    0.4952  -52460.3232  0.2548 
   00056    0.4968  -52587.1857  0.2568 
   00057    0.4952  -52612.9588  0.2635 
   00058    0.4896  -52859.2634  0.2646 
   00059    0.4925  -53128.9584  0.2655 
   00060    0.4961  -53426.8320  0.2680 
   00061    0.4925  -53320.8731  0.2653 
   00062    0.4920  -53363.3301  0.2657 
   00063    0.4935  -53394.0406  0.2642 
   00064    0.4892  -53393.0713  0.2612 
   00065    0.4886  -53237.0126  0.2619 
   00066    0.4862  -52914.4509  0.2594 
   00067    0.4973  -52924.9581  0.2571 
   00068    0.4962  -53106.3163  0.2642 
   00069    0.4850  -53166.2079  0.2571 
   00070    0.4912  -53244.0796  0.2546 
   00071    0.4917  -52811.8765  0.2587 
   00072    0.4925  -52654.5776  0.2604 
   00073    0.4991  -52731.4861  0.2609 
   00074    0.4973  -52700.9019  0.2653 
   00075    0.4962  -52699.4614  0.2663 
   00076    0.4980  -52618.7821  0.2679 
   00077    0.4921  -52853.7599  0.2695 
   00078    0.4976  -53204.5216  0.2699 
   00079    0.4897  -53403.0664  0.2714 
   00080    0.4913  -53062.5020  0.2668 
   00081    0.4920  -52960.4941  0.2675 
   00082    0.4928  -53212.8271  0.2723 
   00083    0.5025  -52952.8314  0.2732 
   00084    0.4931  -53142.9054  0.2697 
   00085    0.4934  -53123.6913  0.2670 
   00086    0.4908  -53139.7936  0.2686 
   00087    0.4936  -53037.7923  0.2688 
   00088    0.4924  -53089.0687  0.2713 
   00089    0.4942  -53224.0880  0.2757 
   00090    0.4910  -52983.8189  0.2726 
   00091    0.5002  -52838.4224  0.2713 
   00092    0.4942  -52995.1752  0.2726 
   00093    0.4918  -52823.7218  0.2707 
   00094    0.4907  -53085.2651  0.2782 
   00095    0.4973  -53032.3117  0.2805 
   00096    0.4949  -52886.6611  0.2796 
   00097    0.4956  -52849.9447  0.2777 
   00098    0.4959  -52735.8276  0.2747 
   00099    0.4972  -52699.8826  0.2726 
   00100    0.4940  -52665.9763  0.2742 
