#=====================================================
# File created:        Fri-25-Oct-2024-at-09-34-20PM
# Size of lattice:     20x20
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.256124
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000    -467.5305  0.2664 
   00001    0.6825    -635.3712  0.2735 
   00002    0.6275    -717.3502  0.3177 
   00003    0.6100    -813.1237  0.3165 
   00004    0.5425    -882.7264  0.3159 
   00005    0.5400    -950.7449  0.3248 
   00006    0.4875   -1001.7526  0.3574 
   00007    0.5375   -1045.3140  0.3585 
   00008    0.5025   -1073.9117  0.3735 
   00009    0.5025   -1123.3244  0.3702 
   00010    0.4675   -1145.8401  0.3783 
   00011    0.4600   -1165.7958  0.3924 
   00012    0.4525   -1185.8537  0.3985 
   00013    0.4325   -1183.3067  0.4025 
   00014    0.4875   -1191.3199  0.3816 
   00015    0.4325   -1195.6728  0.3806 
   00016    0.4025   -1208.5312  0.3658 
   00017    0.4325   -1231.5890  0.3607 
   00018    0.4350   -1239.3587  0.3800 
   00019    0.4275   -1236.8813  0.3557 
   00020    0.3975   -1244.8620  0.3692 
   00021    0.4050   -1245.5374  0.3754 
   00022    0.4375   -1229.5127  0.3760 
   00023    0.4525   -1232.7897  0.3867 
   00024    0.4125   -1245.7995  0.3814 
   00025    0.4725   -1253.2012  0.3877 
   00026    0.4275   -1265.9353  0.3816 
   00027    0.3850   -1262.2183  0.3814 
   00028    0.4600   -1265.4620  0.3921 
   00029    0.4375   -1252.6247  0.3650 
   00030    0.4500   -1265.2979  0.3584 
   00031    0.4300   -1262.1478  0.3910 
   00032    0.4450   -1256.4238  0.3834 
   00033    0.3650   -1262.5636  0.3702 
   00034    0.4400   -1273.3027  0.3774 
   00035    0.3800   -1281.1197  0.3892 
   00036    0.4525   -1271.8947  0.3809 
   00037    0.4350   -1294.6064  0.3735 
   00038    0.4075   -1300.3661  0.3726 
   00039    0.4025   -1303.1111  0.3772 
   00040    0.4550   -1317.6306  0.3596 
   00041    0.3925   -1322.8858  0.3650 
   00042    0.3975   -1299.0690  0.3565 
   00043    0.3925   -1307.3865  0.3595 
   00044    0.4550   -1303.3502  0.3517 
   00045    0.3800   -1294.7599  0.3456 
   00046    0.4600   -1308.3300  0.3249 
   00047    0.4325   -1297.6141  0.3282 
   00048    0.4300   -1317.7156  0.3220 
   00049    0.4500   -1315.2069  0.3514 
   00050    0.3875   -1321.7429  0.3703 
