#=====================================================
# File created:        Fri-25-Oct-2024-at-09-44-54PM
# Size of lattice:     20x20
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.291496
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000    -370.9150  0.2814 
   00001    0.7050    -575.1524  0.2642 
   00002    0.6700    -702.2257  0.2901 
   00003    0.6375    -808.2075  0.3060 
   00004    0.5675    -876.2691  0.3003 
   00005    0.5450    -923.2977  0.3074 
   00006    0.5150    -980.2420  0.3109 
   00007    0.4875   -1012.9763  0.3076 
   00008    0.4900   -1057.3877  0.3165 
   00009    0.5075   -1074.0342  0.3215 
   00010    0.5150   -1094.8508  0.3525 
   00011    0.4800   -1111.4411  0.3455 
   00012    0.4700   -1111.7995  0.3611 
   00013    0.4275   -1128.6094  0.3638 
   00014    0.4700   -1141.4607  0.3511 
   00015    0.4975   -1179.7345  0.3417 
   00016    0.4575   -1184.2761  0.3599 
   00017    0.4575   -1179.5210  0.3707 
   00018    0.4825   -1195.5246  0.3591 
   00019    0.4875   -1199.9259  0.3632 
   00020    0.4375   -1203.8168  0.3788 
   00021    0.4625   -1204.8842  0.3760 
   00022    0.4875   -1193.3061  0.3692 
   00023    0.4475   -1187.0439  0.3543 
   00024    0.4750   -1185.9255  0.3652 
   00025    0.4850   -1197.4988  0.3527 
   00026    0.4675   -1210.1288  0.3548 
   00027    0.4700   -1203.3577  0.3628 
   00028    0.4900   -1227.2374  0.3957 
   00029    0.4225   -1230.4512  0.3920 
   00030    0.4425   -1216.6001  0.4027 
   00031    0.4450   -1222.2124  0.3919 
   00032    0.4150   -1223.4040  0.3967 
   00033    0.4525   -1212.8652  0.4152 
   00034    0.4275   -1231.1249  0.4206 
   00035    0.4225   -1228.1968  0.4177 
   00036    0.4450   -1249.5978  0.4348 
   00037    0.4375   -1234.2281  0.4374 
   00038    0.4550   -1243.9745  0.4505 
   00039    0.4575   -1244.8421  0.4660 
   00040    0.4675   -1249.9952  0.4821 
   00041    0.5250   -1238.5322  0.4764 
   00042    0.4250   -1242.1047  0.4807 
   00043    0.5000   -1249.1733  0.4838 
   00044    0.4600   -1278.4887  0.4933 
   00045    0.4400   -1266.8860  0.4797 
   00046    0.4525   -1274.2605  0.4971 
   00047    0.4450   -1291.6112  0.4987 
   00048    0.4275   -1294.8018  0.4884 
   00049    0.4075   -1293.3615  0.4859 
   00050    0.4225   -1297.9862  0.4707 
